hotel,arrival_date_month,reservation_count
"Resort Hotel",July,7187
"Resort Hotel",August,7652
"Resort Hotel",September,5350
"Resort Hotel",October,5778
"Resort Hotel",November,3271
"Resort Hotel",December,3539
"Resort Hotel",January,2656
"Resort Hotel",February,4025
"Resort Hotel",March,4382
"Resort Hotel",April,4977
"Resort Hotel",May,4951
"Resort Hotel",June,4228
"City Hotel",July,5892
"City Hotel",August,7003
"City Hotel",September,7400
"City Hotel",October,7604
"City Hotel",November,4261
"City Hotel",December,2804
"City Hotel",January,2482
"City Hotel",February,3391
"City Hotel",March,4378
"City Hotel",April,5508
"City Hotel",May,5962
"City Hotel",June,5789
